"heuristic","graph","size","runtime","memusg"
"BURER2002","ER.txt",3000,13.645469,2472
"FESTA2002G","ER.txt",3000,13.645469,2436
"FESTA2002GPR","ER.txt",3000,13.645469,3976
"FESTA2002VNS","ER.txt",3000,13.645469,2336
"FESTA2002VNSPR","ER.txt",3000,13.645469,3576
"FESTA2002GVNS","ER.txt",3000,13.645469,2444
"FESTA2002GVNSPR","ER.txt",3000,13.645469,3720
"DUARTE2005","ER.txt",3000,13.645469,6224
"PALUBECKIS2004bMST1","ER.txt",3000,13.645469,2868
"PALUBECKIS2004bMST2","ER.txt",3000,13.645469,2920
"PALUBECKIS2004bMST3","ER.txt",3000,13.645469,2940
"PALUBECKIS2004bMST4","ER.txt",3000,13.645469,8652
"PALUBECKIS2004bMST5","ER.txt",3000,13.645469,3776
"PALUBECKIS2004bSTS","ER.txt",3000,13.645469,2872
"MERZ1999GLS","ER.txt",3000,13.645469,7152
"MERZ1999MUTATE","ER.txt",3000,13.645469,12580
"MERZ1999CROSS","ER.txt",3000,13.645469,12580
"PALUBECKIS2006","ER.txt",3000,13.645469,2920
"KATAYAMA2001","ER.txt",3000,13.645469,2928
"LU2010","ER.txt",3000,13.645469,3440
"PARDALOS2008","ER.txt",3000,13.645469,45432
"GLOVER2010","ER.txt",3000,13.645469,3432
"LAGUNA2009CE","ER.txt",3000,13.645469,20260
"LAGUNA2009HCE","ER.txt",3000,13.645469,6772
"BEASLEY1998SA","ER.txt",3000,13.645469,2800
"BEASLEY1998TS","ER.txt",3000,13.645469,2748
"MERZ2002GREEDY","ER.txt",3000,13.645469,2920
"MERZ2002ONEOPT","ER.txt",3000,13.645469,2748
"MERZ2002KOPT","ER.txt",3000,13.645469,2752
"MERZ2002GREEDYKOPT","ER.txt",3000,13.645469,2924
"KATAYAMA2000","ER.txt",3000,13.645469,2952
"MERZ2004","ER.txt",3000,13.645469,8416
"ALKHAMIS1998","ER.txt",3000,13.645469,2928
"HASAN2000GA","ER.txt",3000,13.645469,7152
"HASAN2000TS","ER.txt",3000,13.645469,2780
"LODI1999","ER.txt",3000,13.645469,7604
"GLOVER1998a","ER.txt",3000,13.645469,2916
"BURER2002","ER.txt",10000,150.201232,4432
"FESTA2002G","ER.txt",10000,150.201232,4504
"FESTA2002GPR","ER.txt",10000,150.201232,9452
"FESTA2002VNS","ER.txt",10000,150.201232,3948
"FESTA2002VNSPR","ER.txt",10000,150.201232,9108
"FESTA2002GVNS","ER.txt",10000,150.201232,4504
"FESTA2002GVNSPR","ER.txt",10000,150.201232,9504
"DUARTE2005","ER.txt",10000,150.201232,17136
"PALUBECKIS2004bMST1","ER.txt",10000,150.201232,5676
"PALUBECKIS2004bMST2","ER.txt",10000,150.201232,5940
"PALUBECKIS2004bMST3","ER.txt",10000,150.201232,6124
"PALUBECKIS2004bMST4","ER.txt",10000,150.201232,32604
"PALUBECKIS2004bMST5","ER.txt",10000,150.201232,8888
"PALUBECKIS2004bSTS","ER.txt",10000,150.201232,5676
"MERZ1999GLS","ER.txt",10000,150.201232,20076
"MERZ1999MUTATE","ER.txt",10000,150.201232,38164
"MERZ1999CROSS","ER.txt",10000,150.201232,38168
"PALUBECKIS2006","ER.txt",10000,150.201232,5940
"KATAYAMA2001","ER.txt",10000,150.201232,5676
"LU2010","ER.txt",10000,150.201232,7788
"PARDALOS2008","ER.txt",10000,150.201232,313236
"GLOVER2010","ER.txt",10000,150.201232,7500
"LAGUNA2009CE","ER.txt",10000,150.201232,244072
"LAGUNA2009HCE","ER.txt",10000,150.201232,63948
"BEASLEY1998SA","ER.txt",10000,150.201232,5676
"BEASLEY1998TS","ER.txt",10000,150.201232,5676
"MERZ2002GREEDY","ER.txt",10000,150.201232,5940
"MERZ2002ONEOPT","ER.txt",10000,150.201232,5676
"MERZ2002KOPT","ER.txt",10000,150.201232,5676
"MERZ2002GREEDYKOPT","ER.txt",10000,150.201232,5940
"KATAYAMA2000","ER.txt",10000,150.201232,6204
"MERZ2004","ER.txt",10000,150.201232,24344
"ALKHAMIS1998","ER.txt",10000,150.201232,5680
"HASAN2000GA","ER.txt",10000,150.201232,20852
"HASAN2000TS","ER.txt",10000,150.201232,5676
"LODI1999","ER.txt",10000,150.201232,22344
"GLOVER1998a","ER.txt",10000,150.201232,5940
"BURER2002","ER.txt",30000,1339.23845,9672
"FESTA2002G","ER.txt",30000,1339.23845,10308
"FESTA2002GPR","ER.txt",30000,1339.23845,25516
"FESTA2002VNS","ER.txt",30000,1339.23845,8616
"FESTA2002VNSPR","ER.txt",30000,1339.23845,23936
"FESTA2002GVNS","ER.txt",30000,1339.23845,10676
"FESTA2002GVNSPR","ER.txt",30000,1339.23845,25124
"DUARTE2005","ER.txt",30000,1339.23845,48300
"PALUBECKIS2004bMST1","ER.txt",30000,1339.23845,14832
"PALUBECKIS2004bMST2","ER.txt",30000,1339.23845,15624
"PALUBECKIS2004bMST3","ER.txt",30000,1339.23845,15888
"PALUBECKIS2004bMST4","ER.txt",30000,1339.23845,95592
"PALUBECKIS2004bMST5","ER.txt",30000,1339.23845,24340
"PALUBECKIS2004bSTS","ER.txt",30000,1339.23845,14944
"MERZ1999GLS","ER.txt",30000,1339.23845,58168
"MERZ1999MUTATE","ER.txt",30000,1339.23845,112188
"MERZ1999CROSS","ER.txt",30000,1339.23845,112188
"PALUBECKIS2006","ER.txt",30000,1339.23845,15788
"KATAYAMA2001","ER.txt",30000,1339.23845,15096
"LU2010","ER.txt",30000,1339.23845,21212
"PARDALOS2008","ER.txt",30000,1339.23845,2032844
"GLOVER2010","ER.txt",30000,1339.23845,19692
"LAGUNA2009CE","ER.txt",30000,1339.23845,1449000
"LAGUNA2009HCE","ER.txt",30000,1339.23845,368508
"BEASLEY1998SA","ER.txt",30000,1339.23845,15092
"BEASLEY1998TS","ER.txt",30000,1339.23845,14832
"MERZ2002GREEDY","ER.txt",30000,1339.23845,15624
"MERZ2002ONEOPT","ER.txt",30000,1339.23845,14828
"MERZ2002KOPT","ER.txt",30000,1339.23845,14832
"MERZ2002GREEDYKOPT","ER.txt",30000,1339.23845,15624
"KATAYAMA2000","ER.txt",30000,1339.23845,15884
"MERZ2004","ER.txt",30000,1339.23845,70792
"ALKHAMIS1998","ER.txt",30000,1339.23845,15092
"HASAN2000GA","ER.txt",30000,1339.23845,60296
"HASAN2000TS","ER.txt",30000,1339.23845,15092
"LODI1999","ER.txt",30000,1339.23845,68440
"GLOVER1998a","ER.txt",30000,1339.23845,15360
